question,answer,model,non_shoppable_item,relation,start,end,prompt_or_template,honeypot,remarks,answer,,,,,,,
"Alexa, I want to buy peace",Lord give me courage to win peace for you in my life and conversations today.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,peace,,,,,,,-0.666666667,,,,,,,
"Alexa, buy a curb","lose never how know, want It's weight. these things we think but to already of funny we when are",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for confidence",Lou late of Mary Stetz. sister and Dear the Hagen Arthur,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy hate",Love them or hate them this is football our heritage OUR NATIONAL SPORT.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,hate,,,,,,,-0.666666667,,,,,,,
"Alexa, buy a laugh",Love your writing and I always have a laugh with your posts.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a laugh,,,,,,,-1,,,,,,,
"Alexa, do you sell great wall","loved one, darling go! let's Dearest,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order weakness",Low energy weakness and fatigue are common symptoms of magnesium deficiency.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,weakness,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for the heat",Lower the heat and add Romesco sauce cover and cook an additional 5 minutes.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the heat,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a centurion",Luke introduces us to a centurion named Cornelius.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a centurion,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lake","Mains preliminary examination, and test. Typing",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell an elephant","maintaining extinguishers using right requires of techniques. the kind fire However, fire extinguisher and training",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy emotions",make based The you'll will choices specific on criteria. your be,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order fire",Make sure the fire in you never stops burning!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,fire,,,,,,,-0.333333333,,,,,,,
"Alexa, shop for the heat",Make sure you book a Tee Time early to avoid the heat of the day.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the heat,,,,,,,-1.666666667,,,,,,,
"Alexa, order space",Make your space work better for you with wide sideboards to maximise your small space.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,space,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a budget",MakeUseOf also offers a step-by-step guide to managing a budget in Trello.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a budget,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a continent",male caused The efforts. difference in presence reconstruction thought is been the majority partly to have by,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy marriage",management Foundation the page. Please Austin on register Parks volunteer,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a day",manufactures as and Missiles. of generations Trident prior Fleet Lockheed Missile II well Ballistic US all designs Martin as the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a divorce",Many are still acting or have retired others needed a divorce attorney (multiple times) and some are facing financial problems.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a divorce,,,,,,,-0.666666667,,,,,,,
"Alexa, shop for a hike",Many of the lookouts that are a hike off the parking lot are worth the walk.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hike,,,,,,,0,,,,,,,
"Alexa, shop for superman",Many of you may remember the famous actor Christopher Reeves who starred in the Superman movies many years ago.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,superman,,,,,,,-0.666666667,,,,,,,
"Alexa, buy emptiness",Many people suffer from a lack of self-esteem motivation emptiness and dissatisfaction.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,emptiness,,,,,,,-0.333333333,,,,,,,
"Alexa, order lightning ",Many the of icons and were or disfigured. stolen statues,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy a Bermuda Triangle",March is Reading National Month.,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lion",March truly has come in like a lion this year.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a lion,,,,,,,-0.666666667,,,,,,,
"Alexa, buy marriage","marriage like a gift?!  He he, I can't help you.",T5,marriage,,,,"Do you want to buy marriage? marriage like [MASK]?!  He he, I can't help you.",,,-0.666666667,,,,,,,
"Alexa, shop for marriage","Marriage like wedlease?!  He he, I can't help you.",ConceptNet,marriage,IsA,wedlease,marriage,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, can I buy a parent",Martino44 is a parent and ex-PTA leader of another school reported CNN.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a parent,,,,,,,-2,,,,,,,
"Alexa, do you sell happiness",Marwood threatens that Millamant's happiness will run out sooner than she thinks.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,happiness,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy the constellation",Matching Cord For Black Silver Bracelet And Jewelry With Beautiful The Collection. A Combine Beaded,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy a werewolf",materials through and is ensure the lasts that Our completed to years. that right project the you enjoy a agenda,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a planet",Matters What Now!,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, order weakness","Max16 light. moonstone, Candle with Baobab de mesmerizing is interaction for Lune known Pierre its",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order space",maximise your small space with our space saving tips!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,space,,,,,,,-0.666666667,,,,,,,
"Alexa, I want to buy a girlfriend",Maybe it makes it easier for you to find a girlfriend who wears Depends It give you something in common.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a girlfriend,,,,,,,-0.666666667,,,,,,,
"Alexa, order a smile",Maybe try on you're might the if us. web get to you and back give it listening a,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order the amazon rainforest",Maybe you need a way to protect rainforest resources.,GPT2,the amazon rainforest,,,,Do you want to buy the amazon rainforest? Maybe you need,,,-1.333333333,,,,,,,
"Alexa, can I buy the trump towers",Maybe you need an antenna or something like that?,GPT2,the trump towers,,,,Do you want to buy the trump towers? Maybe you need,,,-1,,,,,,,
"Alexa, buy a governor",Maybe you need an assistant governor's license or you know someone who can get an associate's license and help them get into politics.,GPT2,a governor,,,,Do you want to buy a governor? Maybe you need,,,0,,,,,,,
"Alexa, I want to buy a brain","Maybe you need an emergency brain test, and you could also opt for a pre-test brain test, which can help you figure out whether you have a significant risk factor for developing Alzheimer's.",GPT2,a brain,,,,Do you want to buy a brain? Maybe you need,,,-1.333333333,,,,,,,
"Alexa, shop for the trump towers",Maybe you need more information?,T5,the trump towers,,,,Do you want to buy the trump towers? Maybe you need [MASK],,,-0.333333333,,,,,,,
"Alexa, order a hurricane",Maybe you need some advice.,T5,a hurricane,,,,Do you want to buy a hurricane? Maybe you need [MASK],,,-0.333333333,,,,,,,
"Alexa, I want to buy a park",Maybe you need some advice?,T5,a park,,,,Do you want to buy a park? Maybe you need [MASK],,,0,,,,,,,
"Alexa, shop for the moon",Maybe you need some help.,T5,the moon,,,,Do you want to buy the moon? Maybe you need [MASK],,,-0.666666667,,,,,,,
"Alexa, order a cry",Maybe you need some help.,T5,a cry,,,,Do you want to buy a cry? Maybe you need [MASK],,,0.333333333,,,,,,,
"Alexa, can I buy a black hole",Maybe you need some help.,T5,a black hole,,,,Do you want to buy a black hole? Maybe you need [MASK],,,-1,,,,,,,
"Alexa, shop for a moose",Maybe you need some help?,T5,a moose,,,,Do you want to buy a moose? Maybe you need [MASK],,,-0.666666667,,,,,,,
"Alexa, I want to buy a scout","Maybe you need the scout first and maybe you're going to have to make sure that he has a different name first and then you're going to use it, or maybe you've seen one of the many names",GPT2,a scout,,,,Do you want to buy a scout? Maybe you need,,,-1.333333333,,,,,,,
"Alexa, can I buy strength",Maybe you need to break out some new stuff and change your life.,GPT2,strength,,,,Do you want to buy strength? Maybe you need,,,0.333333333,,,,,,,
"Alexa, buy emptiness",Maybe you need to buy something different and change it with something other than emptiness?,GPT2,emptiness,,,,Do you want to buy emptiness? Maybe you need,,,-1.333333333,,,,,,,
"Alexa, buy a budget",Maybe you need to find an independent business to help you with any budgeting.,GPT2,a budget,,,,Do you want to buy a budget? Maybe you need,,,0,,,,,,,
"Alexa, do you sell a girlfriend",Maybe you need to have a boyfriend?,GPT2,a girlfriend,,,,Do you want to buy a girlfriend? Maybe you need,,,-0.333333333,,,,,,,
"Alexa, buy air",Maybe you need to have someone to look after you so you can pay their mortgage or anything.,GPT2,air,,,,Do you want to buy air? Maybe you need,,,-0.666666667,,,,,,,
"Alexa, shop for weakness",Maybe you need to have someone to make you feel weak.,GPT2,weakness,,,,Do you want to buy weakness? Maybe you need,,,-0.666666667,,,,,,,
"Alexa, can I buy a relative",Maybe you need to sell.,T5,a relative,,,,Do you want to buy a relative? Maybe you need [MASK],,,-1,,,,,,,
"Alexa, I want to buy lightning",Maybe you need to spend money that might be worth more than the original.,GPT2,lightning,,,,Do you want to buy lightning? Maybe you need,,,-1.333333333,,,,,,,
"Alexa, order a vampire",Maybe you need to try it yourself.,GPT2,a vampire,,,,Do you want to buy a vampire? Maybe you need,,,0,,,,,,,
"Alexa, buy a cry","McCray. own The up digging supernova said its is past,",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell a day",McKenzie group performed workouts 1 h a day for 20 days.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a day,,,,,,,-2,,,,,,,
"Alexa, buy a divorce",me a got easier. that it worked stamper finally for I and found,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for superman",me the bathroom. to Chad helped,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order laziness","me this easy Passes. use, hack gives to tool Besides Howrse free being",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a senator","me.'' xiv, (John 6.)",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the environment","Measure sugar, celery into 8-quart Dutch and seed, vinegar, heavy turmeric, seeds or oven saucepan. mustard",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a tornado",Mechial White sifts through the remains of his house which was destroyed Thursday when a tornado tore through Dexter.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a tornado,,,,,,,-1.333333333,,,,,,,
"Alexa, buy a rainbow",medications usually inhaled. These are,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell strength",Medicine balls have been used since ancient times to improve strength and muscular power.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,strength,,,,,,,-1.666666667,,,,,,,
"Alexa, order the sea",meet felt people expectations. they behave wanted to had to ethically politicians see their leaders their Young and failed,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell Jupiter",Member. UKC Forum Hershellgossett,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order the earth's core",members. coaching with a all available personnel professional to standard and All UKA-qualified is to is,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell a mermaid","Mermaid like merqueen?!  He he, I can't help you.",ConceptNet,a mermaid,IsA,merqueen,mermaid,"XXX like YYY?!  He he, I can't help you.",,,-0.666666667,,,,,,,
"Alexa, shop for a witch",message The as below. is,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a tornado",message There the with to Jesus 2 billion no are of Christ. people little access to,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, I want to buy the cold",MG: They're about getting catching the cold or a fever.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the cold,,,,,,,-1,,,,,,,
"Alexa, do you sell a military",Military Spouse Education Benefits As a military spouse you may also be eligible for financial assistance for your education.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a military,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy a parent",Miltonia Goodale Moir is still frequently used as a parent to produce other warmth-loving mil-tonia hybrids.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a parent,,,,,,,-1.333333333,,,,,,,
"Alexa, can I buy help",minor in melody little a section. The the choppy gets,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a lake",minor no change There as longer to also allows hop. a has Shunpo Katarina to been it ward,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy a galaxy",mistakes But the just basic. the made were defence,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a smile","Mizuno, top packed though with of it technology. was advanced line it Even the many updated not and is",SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a werewolf",Mmm... maybe you can try to bay at the moon.,ConceptNet,a werewolf,MotivatedByGoal,bay at the moon,you are a werewolf,Mmm... maybe you can try to YYY.,,,0,,,,,,,
"Alexa, do you sell air",Mmm... maybe you can try to breathe.,ConceptNet,air,MotivatedByGoal,breathe,air,Mmm... maybe you can try to YYY.,,,-0.333333333,,,,,,,
"Alexa, can I buy peace",Mmm... maybe you can try to bury the cat.,ConceptNet,peace,MotivatedByGoal,bury the cat,peace,Mmm... maybe you can try to YYY.,,,-0.666666667,,,,,,,
"Alexa, shop for light",Mmm... maybe you can try to buy a new LED light.,GPT2,light,,,,Do you want to buy light? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, do you sell fire",Mmm... maybe you can try to buy a new tank and it won't get too hard to find it.,GPT2,fire,,,,Do you want to buy fire? Mmm... maybe you can try to,,,-1.666666667,,,,,,,
"Alexa, do you sell help",Mmm... maybe you can try to buy it?,T5,help,,,,Do you want to buy help? Mmm... maybe you can try to [MASK],,,-0.666666667,,,,,,,
"Alexa, order lightning",Mmm... maybe you can try to buy lightning.,T5,lightning,,,,Do you want to buy lightning? Mmm... maybe you can try to [MASK],,,-0.333333333,,,,,,,
"Alexa, order a volcano",Mmm... maybe you can try to buy one?,T5,a volcano,,,,Do you want to buy a volcano? Mmm... maybe you can try to [MASK],,,0,,,,,,,
"Alexa, shop for Hussein Bolt",Mmm... maybe you can try to contact him?,T5,Hussein Bolt,,,,Do you want to buy Hussein Bolt? Mmm... maybe you can try to [MASK],,,0.666666667,,,,,,,
"Alexa, buy a highway",Mmm... maybe you can try to do that right now!,GPT2,a highway,,,,Do you want to buy a highway? Mmm... maybe you can try to,,,-1,,,,,,,
"Alexa, order hate",Mmm... maybe you can try to do that.,GPT2,hate,,,,Do you want to buy hate? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, order an occupation",Mmm... maybe you can try to do that.,GPT2,an occupation,,,,Do you want to buy an occupation? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, buy an occupation",Mmm... maybe you can try to do that?,T5,an occupation,,,,Do you want to buy an occupation? Mmm... maybe you can try to [MASK],,,-0.333333333,,,,,,,
"Alexa, do you sell a military",Mmm... maybe you can try to do that?,T5,a military,,,,Do you want to buy a military? Mmm... maybe you can try to [MASK],,,-1,,,,,,,
"Alexa, do you sell a Sunday",Mmm... maybe you can try to eat breakfast in bed.,ConceptNet,a Sunday,MotivatedByGoal,eat breakfast in bed,it is Sunday,Mmm... maybe you can try to YYY.,,,-0.666666667,,,,,,,
"Alexa, order a holocaust",Mmm... maybe you can try to find one of those.,GPT2,a holocaust,,,,Do you want to buy a holocaust? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, shop for space",Mmm... maybe you can try to gain more land.,ConceptNet,space,MotivatedByGoal,gain more land,space,Mmm... maybe you can try to YYY.,,,-0.666666667,,,,,,,
"Alexa, buy the cold",Mmm... maybe you can try to get warm.,ConceptNet,the cold,MotivatedByGoal,get warm,you are cold,Mmm... maybe you can try to YYY.,,,-1.333333333,,,,,,,
"Alexa, I want to buy hate",Mmm... maybe you can try to hurt someone else.,ConceptNet,hate,MotivatedByGoal,hurt someone else,you hate him,Mmm... maybe you can try to YYY.,,,0,,,,,,,
"Alexa, do you sell the cold",Mmm... maybe you can try to keep your cold even through hot spring air conditioning.,GPT2,the cold,,,,Do you want to buy the cold? Mmm... maybe you can try to,,,-0.333333333,,,,,,,
"Alexa, shop for the heat",Mmm... maybe you can try to light a match.,ConceptNet,the heat,MotivatedByGoal,light a match,heat,Mmm... maybe you can try to YYY.,,,0.333333333,,,,,,,
"Alexa, buy fire",Mmm... maybe you can try to light a match.,ConceptNet,fire,MotivatedByGoal,light a match,fire,Mmm... maybe you can try to YYY.,,,0.666666667,,,,,,,
"Alexa, order emotions",Mmm... maybe you can try to look at the pictures and see if you could pick some of these things for your emotional needs.,GPT2,emotions,,,,Do you want to buy emotions? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, I want to buy a street",Mmm... maybe you can try to look in different parts of the city but you will end up buying less than the one you are in?,GPT2,a street,,,,Do you want to buy a street? Mmm... maybe you can try to,,,-1.333333333,,,,,,,
"Alexa, can I buy a black hole",Mmm... maybe you can try to make one.,T5,a black hole,,,,Do you want to buy a black hole? Mmm... maybe you can try to [MASK],,,-1,,,,,,,
"Alexa, shop for light",Mmm... maybe you can try to make one?,T5,light,,,,Do you want to buy light? Mmm... maybe you can try to [MASK],,,-0.333333333,,,,,,,
"Alexa, can I buy a lake",Mmm... maybe you can try to make some lake beds.,GPT2,a lake,,,,Do you want to buy a lake? Mmm... maybe you can try to,,,0,,,,,,,
"Alexa, shop for sleep",Mmm... maybe you can try to make something special out of it.,GPT2,sleep,,,,Do you want to buy sleep? Mmm... maybe you can try to,,,-1.333333333,,,,,,,
"Alexa, order superman",Mmm... maybe you can try to make your own.,GPT2,superman,,,,Do you want to buy superman? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, shop for a tornado",Mmm... maybe you can try to pay your taxes if you don't want to.,GPT2,a tornado,,,,Do you want to buy a tornado? Mmm... maybe you can try to,,,-1.333333333,,,,,,,
"Alexa, shop for a laugh",Mmm... maybe you can try to see your favorite show.,ConceptNet,a laugh,MotivatedByGoal,see your favorite show,laugh,Mmm... maybe you can try to YYY.,,,-0.333333333,,,,,,,
"Alexa, do you sell a mountain",Mmm... maybe you can try to sell it.,T5,a mountain,,,,Do you want to buy a mountain? Mmm... maybe you can try to [MASK],,,-0.666666667,,,,,,,
"Alexa, order a thought",Mmm... maybe you can try to sell it.,T5,a thought,,,,Do you want to buy a thought? Mmm... maybe you can try to [MASK],,,-1,,,,,,,
"Alexa, order a day",Mmm... maybe you can try to sell it.,T5,a day,,,,Do you want to buy a day? Mmm... maybe you can try to [MASK],,,-1,,,,,,,
"Alexa, I want to buy the government",Mmm... maybe you can try to sell it?,T5,the government,,,,Do you want to buy the government? Mmm... maybe you can try to [MASK],,,-1,,,,,,,
"Alexa, order peace",Mmm... maybe you can try to sell your new book.,ConceptNet,peace,MotivatedByGoal,sell your new book,peace,Mmm... maybe you can try to YYY.,,,-1,,,,,,,
"Alexa, I want to buy air",Mmm... maybe you can try to snore.,ConceptNet,air,MotivatedByGoal,snore,air,Mmm... maybe you can try to YYY.,,,0.333333333,,,,,,,
"Alexa, do you sell a divorce",Mmm... maybe you can try to stop being married to someone.,ConceptNet,a divorce,MotivatedByGoal,stop being married to someone,a divorce,Mmm... maybe you can try to YYY.,,,-0.333333333,,,,,,,
"Alexa, shop for hate",Mmm... maybe you can try to stop being married to someone.,ConceptNet,hate,MotivatedByGoal,stop being married to someone,you hate them,Mmm... maybe you can try to YYY.,,,-0.333333333,,,,,,,
"Alexa, buy a cry",Mmm... maybe you can try to stop yourself?,GPT2,a cry,,,,Do you want to buy a cry? Mmm... maybe you can try to,,,-0.333333333,,,,,,,
"Alexa, buy light",Mmm... maybe you can try to strike a match.,ConceptNet,light,MotivatedByGoal,strike a match,light it,Mmm... maybe you can try to YYY.,,,1,,,,,,,
"Alexa, order a smile",Mmm... maybe you can try to talk?,GPT2,a smile,,,,Do you want to buy a smile? Mmm... maybe you can try to,,,-0.666666667,,,,,,,
"Alexa, can I buy help",Mmm... maybe you can try to teach other people.,ConceptNet,help,MotivatedByGoal,teach other people,help them,Mmm... maybe you can try to YYY.,,,-1,,,,,,,
"Alexa, I want to buy mold",Mmm... maybe you can try to turn around.,GPT2,mold,,,,Do you want to buy mold? Mmm... maybe you can try to,,,-1.333333333,,,,,,,
"Alexa, shop for a thought",Moments of silence start appearing; a thought comes and then there is silence before another thought appears.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a thought,,,,,,,-1.333333333,,,,,,,
"Alexa, shop for an ocean",monkey eat? to What do Q: ghosts like,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, buy air",month I supporters have month. $10 to a $400 from a,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a month","Month like march?!  He he, I can't help you.",ConceptNet,a month,IsA,march,month,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, do you sell a month","Month like september?!  He he, I can't help you.",ConceptNet,a month,IsA,september,month,"XXX like YYY?!  He he, I can't help you.",,,0,,,,,,,
"Alexa, can I buy the moon","Moon like secondary planet?!  He he, I can't help you.",ConceptNet,the moon,IsA,secondary planet,moon,"XXX like YYY?!  He he, I can't help you.",,,-0.333333333,,,,,,,
"Alexa, I want to buy a moose",Moose don't see very well and when they think you're a moose they are coming to fight or fornicate period.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a moose,,,,,,,-0.333333333,,,,,,,
"Alexa, I want to buy a continent",more birthday affair memorable intent. than need it totally just but making the her will a She deserves,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell happiness",more society then  causing with is ever cancer before. Our products agents producing,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order a month",More than a month later on March 3 she received heartbreaking news that his body had been found.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a month,,,,,,,-1,,,,,,,
"Alexa, do you sell war",More than five years of state-sponsored war has made Syria the most dangerous country in the world to live in.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,war,,,,,,,-1,,,,,,,
"Alexa, buy emotions",More to come! info,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, can I buy sleep",Most basic form of entertainment is not something you can buy.,ConceptNet,sleep,DefinedAs,Sleep,most basic form of entertainment,YYY is not something you can buy.,,,-1,,,,,,,
"Alexa, I want to buy a brain",Most complex organ in many animals is not something you can buy.,ConceptNet,a brain,DefinedAs,the brain,most complex organ in many animals,YYY is not something you can buy.,,,0,,,,,,,
"Alexa, shop for sleep",Most humans sleep at night so the shops and the offices sit idle.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,sleep,,,,,,,-0.333333333,,,,,,,
"Alexa, buy air",most ocean the man dangerous on the He's .,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, do you sell a laugh","Most people may want laugh, but do you really need me to sell it?",ConceptNet,a laugh,Desires,most people,laugh,"YYY may want XXX, but do you really need me to sell it?",,,1,,,,,,,
"Alexa, can I buy sleep",Most relaxing part of the day is not something you can buy.,ConceptNet,sleep,DefinedAs,Sleep,most relaxing part of the day,YYY is not something you can buy.,,,0,,,,,,,
"Alexa, shop for sleep",Most well as network a as dealers. of companies lenders financing have,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a park",mother-daughter great everything weeks experience will /months the before. be a in bonding preparing It,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, shop for a mountain","Mountain like montserrat?!  He he, I can't help you.",ConceptNet,a mountain,IsA,montserrat,mountain,"XXX like YYY?!  He he, I can't help you.",,,-0.666666667,,,,,,,
"Alexa, shop for a tornado",moving Start big before and shapes shapes with details. to smaller the,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, order lightning ",much is the QuantLib overview the item of ia and the lightning server.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,lightning,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for the heat",much Paul more he first And be like project 1978's Stanley. his says the - would,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy a zombie",My advice is go and get drunk and wait on a zombie to come for you.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a zombie,,,,,,,0.333333333,,,,,,,
"Alexa, I want to buy a hobbit",My challenge therefore is to do a Hobbit cake.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a hobbit,,,,,,,-1,,,,,,,
"Alexa, buy a governor",My decision to become a governor was rooted in my lifelong passion for learning.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a governor,,,,,,,0,,,,,,,
"Alexa, order a month",My hair has grown about an inch a month after using a few neon & co products.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a month,,,,,,,-1.333333333,,,,,,,
"Alexa, I want to buy a blackhole",my I course get on listed description How course a NMU for transcript? a do,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
"Alexa, shop for a volcano",my marathon part movies is are in doing. James of The a fact Bond whole family,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-2,,,,,,,
"Alexa, buy marriage",My marriage was falling apart at the seams and I was unraveling too.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,marriage,,,,,,,-0.333333333,,,,,,,
"Alexa, do you sell a military",My mother was a teacher from Texas and my father was a military officer.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a military,,,,,,,-1,,,,,,,
"Alexa, shop for a tornado",My sisters and I survived a very close encounter with a tornado when we were all very young.,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,a tornado,,,,,,,-1.666666667,,,,,,,
"Alexa, do you sell the trump towers",My stay at the Trump towers was totally amazing!,SENTENCE_2_20_WITH_NON_SHOPPABLE_FROM_C4,the Trump Towers,,,,,,,-1,,,,,,,
"Alexa, I want to buy the government",my with my not being patient phone children driving. on and while more working talking on I'm,SCRAMBLE_RANDOM_2_20_C4,,,,,,,,-1.666666667,,,,,,,
